train_28872, primary, artisinal_mine partly_cloudy primary water
train_1453, clear primary, agriculture cultivation partly_cloudy primary road
train_3171, clear primary, haze primary
train_2321, clear primary, agriculture cultivation partly_cloudy primary road
train_1401, clear primary, agriculture clear cultivation habitation primary road water
train_1098, clear primary, agriculture clear habitation primary road water
train_1243, blooming clear primary, clear primary water
train_11277, clear primary, bare_ground clear primary road selective_logging
train_237, clear primary, artisinal_mine clear primary road water
train_1093, clear primary, agriculture clear primary road
train_4133, cloudy, cloudy
train_3168, clear primary, haze primary
train_2532, clear primary, agriculture clear habitation primary road
train_2470, clear primary, agriculture habitation haze primary
train_32245, blooming clear primary, blooming clear primary
train_841, clear primary, agriculture clear primary
train_11752, blooming clear primary, agriculture bare_ground clear cultivation primary
train_4007, cloudy, cloudy
train_11695, blooming clear primary, bare_ground clear primary
train_27589, blooming clear primary, blooming clear primary
train_11536, clear primary, artisinal_mine bare_ground clear road water
train_31172, clear primary, artisinal_mine clear primary water
train_32149, clear primary, blooming clear primary
train_1080, agriculture clear primary, clear primary water
train_726, cloudy, agriculture partly_cloudy primary water
train_3515, clear primary, cultivation haze primary
train_4127, cloudy, cloudy
train_29482, blooming clear primary, agriculture blooming clear cultivation primary
train_2710, clear primary, clear habitation road
train_804, primary, agriculture partly_cloudy primary road
train_3849, cloudy, cloudy
train_10931, clear primary, bare_ground clear
train_4214, cloudy, cloudy
train_24712, blooming blow_down clear primary, clear primary road selective_logging
train_4256, cloudy, cloudy
train_4438, primary, cloudy
train_3235, clear primary, agriculture haze road
train_2142, blooming clear primary, clear cultivation primary
train_753, clear primary, agriculture partly_cloudy primary
train_4362, cloudy, cloudy
train_1226, blooming clear primary, partly_cloudy primary
train_1338, clear primary, clear primary water
train_10866, primary, bare_ground clear primary water
train_2425, blooming clear primary, agriculture clear habitation primary road
train_1061, clear primary, agriculture clear cultivation habitation primary road water
train_2987, clear primary, agriculture clear habitation primary road
train_756, clear primary, agriculture cultivation habitation partly_cloudy primary road
train_3129, cloudy primary, haze primary
train_3223, cloudy primary, haze primary
train_2429, blooming clear primary, agriculture clear cultivation primary road
train_1320, clear primary, agriculture haze primary water
train_25829, clear primary, clear primary road selective_logging
train_29963, clear primary, artisinal_mine clear primary water
train_1014, clear primary, agriculture partly_cloudy primary road
train_29600, blooming clear primary, clear primary road selective_logging
train_3481, clear primary, agriculture haze primary road
train_1125, clear primary, partly_cloudy primary
train_10309, clear primary, bare_ground clear primary
train_339, blooming clear primary, clear primary
train_3440, primary, agriculture cultivation haze primary
train_763, clear primary, agriculture clear primary water
train_221, clear primary, clear primary
train_378, blooming blow_down clear primary, clear primary
train_28844, blooming blow_down clear cultivation primary, blooming clear primary
train_25934, blooming clear primary, artisinal_mine clear primary road water
train_327, blooming clear primary, clear primary
train_4448, cloudy, cloudy
train_28019, clear primary, artisinal_mine clear primary road water
train_1105, partly_cloudy primary, partly_cloudy primary
train_30086, clear primary, clear primary road selective_logging
train_25738, clear primary, blooming clear primary water
train_1032, primary, agriculture partly_cloudy primary road
train_24877, primary, artisinal_mine clear water
train_317, blooming clear primary, clear primary
train_38750, blooming clear primary, agriculture clear cultivation primary slash_burn
train_28758, clear primary, artisinal_mine clear primary water
train_1130, blooming clear primary, agriculture clear habitation primary road water
train_1444, clear primary, agriculture clear primary water
train_816, clear primary, agriculture clear cultivation primary
train_26686, blooming clear primary, blooming clear primary
train_1398, clear primary, agriculture partly_cloudy primary road
train_28778, clear primary, artisinal_mine bare_ground clear primary
train_859, clear primary, agriculture clear primary road
train_27314, blooming clear primary, blooming clear primary
train_25100, blooming clear primary, clear primary selective_logging
train_10888, clear primary, bare_ground clear habitation primary road water
train_4077, clear primary, cloudy
train_289, blooming clear primary, clear primary
train_3019, clear primary, agriculture clear habitation primary
train_30203, primary, artisinal_mine clear primary road water
train_30011, blooming clear primary, clear primary selective_logging
train_31556, clear primary, artisinal_mine clear habitation primary water
train_12589, clear primary, agriculture bare_ground clear cultivation primary slash_burn
train_28930, blooming clear primary, blooming clear primary
train_12578, clear primary, bare_ground partly_cloudy primary road
train_12283, clear primary, bare_ground clear
train_4372, cloudy, cloudy
train_281, clear primary, clear primary selective_logging
train_1223, clear primary, bare_ground clear primary road water
train_350, clear primary, agriculture clear primary road
train_2384, blooming clear primary, agriculture clear cultivation primary road water
train_1442, partly_cloudy primary, partly_cloudy primary
train_11646, clear primary, agriculture bare_ground clear cultivation primary
train_1302, primary, agriculture partly_cloudy primary
train_3424, primary, haze primary water
train_1312, blooming clear primary, partly_cloudy primary
train_274, clear primary, artisinal_mine clear primary road water
train_2698, clear primary, agriculture clear habitation road
train_30877, blooming blow_down clear cultivation primary selective_logging, blooming clear primary
train_28408, blooming clear primary, blooming clear primary
train_1185, blooming clear primary, clear primary water
train_1465, clear primary, agriculture clear cultivation habitation primary road slash_burn water
train_4205, cloudy, cloudy
train_1095, clear primary, agriculture partly_cloudy primary
train_278, blooming blow_down clear cultivation primary selective_logging, clear primary
train_2044, blooming clear primary, agriculture cultivation habitation partly_cloudy primary
train_301, clear primary, agriculture clear primary road water
train_3461, clear primary, cultivation haze primary
train_2374, clear primary, agriculture clear cultivation primary road
train_3564, clear primary, agriculture haze primary
train_4628, clear primary, cloudy
train_2559, clear primary, agriculture clear habitation primary road
train_2561, blooming clear primary, agriculture clear cultivation habitation primary road
train_2535, clear primary, agriculture clear cultivation primary water
train_3043, clear primary, haze primary
train_751, clear primary, agriculture clear primary road
train_28557, clear primary, clear primary selective_logging
train_373, blooming clear primary, clear primary
train_738, blooming clear primary, agriculture clear cultivation primary
train_699, clear primary, agriculture clear habitation primary water
train_3398, clear primary, haze primary
train_39965, blooming clear primary, clear cultivation primary slash_burn
train_3401, clear primary, haze primary
train_2605, clear primary, bare_ground habitation partly_cloudy primary road
train_297, clear primary, agriculture clear cultivation primary
train_368, blooming clear primary, clear primary
train_1468, cloudy, partly_cloudy primary water
train_2483, clear primary, agriculture clear habitation primary road water
train_1202, blooming clear primary, partly_cloudy primary
train_28732, clear primary, agriculture clear cultivation primary selective_logging
train_27164, clear primary, artisinal_mine clear primary water
train_358, clear primary, agriculture clear cultivation primary
train_25950, blooming blow_down clear primary, agriculture blooming blow_down clear cultivation primary
train_259, blooming clear primary, partly_cloudy primary
train_268, clear primary, agriculture clear habitation primary road
train_30491, clear primary, artisinal_mine clear primary water
train_1402, clear primary, clear primary water
train_2249, clear primary, agriculture clear cultivation primary
train_4788, cloudy, cloudy
train_3413, blooming clear primary, haze primary
train_1229, primary, agriculture haze primary road water
train_3279, primary, haze primary water
train_2414, clear primary, cultivation partly_cloudy primary slash_burn
train_1119, primary, agriculture clear habitation primary road
train_2440, clear primary, agriculture habitation haze primary
train_1383, clear primary, clear primary water
train_25873, clear primary, clear primary road selective_logging
train_321, clear primary, clear primary water
train_4065, cloudy, cloudy
train_30679, blooming clear primary, blooming clear primary road
train_820, clear primary, agriculture clear habitation primary road water
train_1258, clear primary, clear primary water
train_1132, blooming blow_down clear cultivation primary selective_logging, clear primary road water
train_30138, blooming clear primary, clear primary selective_logging
train_27861, blooming blow_down clear primary, blooming clear primary
train_1335, clear primary, partly_cloudy primary
train_2759, clear primary, clear habitation primary road
train_28297, primary, artisinal_mine clear habitation primary road water
train_2803, clear primary, agriculture clear cultivation habitation primary
train_3569, clear primary, haze primary
train_380, blooming clear primary, clear primary
train_31438, clear primary, artisinal_mine clear habitation primary road water
train_31664, clear primary, blooming clear primary water
train_1415, cloudy, partly_cloudy primary
train_31233, blooming clear primary, clear primary selective_logging
train_298, clear primary, agriculture bare_ground clear cultivation habitation primary
train_3390, primary, agriculture haze primary
train_12658, clear primary, agriculture bare_ground clear
train_2300, blooming clear primary, blooming clear cultivation primary
train_307, clear primary, clear primary
train_11442, clear primary, agriculture bare_ground clear primary road
train_310, blooming clear primary, clear primary
train_290, clear primary, clear water
train_338, clear primary, agriculture clear primary
train_1183, clear primary, partly_cloudy primary road selective_logging
train_3575, cloudy, haze primary water
train_2251, clear primary, agriculture clear habitation primary road
train_2091, blooming blow_down clear cultivation primary selective_logging, agriculture clear cultivation primary slash_burn
train_28849, primary, artisinal_mine partly_cloudy primary
train_309, clear primary, agriculture clear primary water
train_2485, clear primary, clear cultivation habitation primary road
train_29461, blooming clear primary, agriculture artisinal_mine clear primary
train_1251, blooming clear primary, clear primary road water
train_3333, clear primary, haze primary
train_30627, clear primary, clear primary road selective_logging
train_374, clear primary, agriculture clear primary
train_260, clear primary, clear primary road water
train_29928, clear primary, artisinal_mine bare_ground clear primary water
train_277, blooming blow_down clear primary, clear primary
train_1420, clear primary, agriculture clear primary water
train_3064, blooming clear primary, agriculture clear habitation primary road
train_27983, blooming clear primary, blooming clear primary
train_31311, blooming clear primary, clear primary road selective_logging
train_27161, clear primary, artisinal_mine clear primary
train_27689, clear primary, blooming clear primary
train_296, blooming clear primary, clear primary
train_966, clear primary, agriculture clear primary road
train_1103, primary, partly_cloudy primary
train_1128, clear primary, agriculture clear cultivation habitation primary road
train_702, primary, agriculture clear primary road
train_254, clear primary, clear primary
train_997, clear primary, artisinal_mine clear primary road selective_logging water
train_1308, blooming clear primary, clear primary water
train_998, clear primary, agriculture cultivation partly_cloudy primary road
train_1356, primary, partly_cloudy primary
train_379, primary, agriculture clear primary road
train_27367, clear primary, clear primary road selective_logging water
train_3657, cloudy primary, cloudy
train_894, clear primary, agriculture clear cultivation primary
train_26301, blooming clear primary, artisinal_mine clear primary water
train_2084, primary, agriculture cultivation haze primary road
train_27635, blooming clear primary, blooming clear primary
train_3266, primary, haze primary
train_12690, blooming clear primary, bare_ground clear primary water
train_346, clear primary, clear primary
train_26234, blooming clear primary, bare_ground clear primary road selective_logging
train_1138, clear primary, agriculture partly_cloudy primary
train_953, clear primary, agriculture habitation partly_cloudy primary road water
train_330, blooming clear primary, agriculture clear primary water
train_2463, clear primary, agriculture clear cultivation primary
train_28850, blooming blow_down clear primary, clear habitation primary selective_logging
train_29246, clear primary, clear primary selective_logging
train_829, clear primary, agriculture clear primary road
train_31298, blooming clear primary, clear primary road selective_logging
train_1352, blooming clear primary, clear cultivation primary water
train_1175, primary water, partly_cloudy primary
train_3090, clear primary, haze primary
train_11263, clear primary, bare_ground clear habitation primary road
train_3521, primary, haze primary
train_4658, clear primary, cloudy
