train_28872, artisinal_mine bare_ground clear conventional_mine habitation partly_cloudy primary road water, artisinal_mine partly_cloudy primary water
train_1112, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary water
train_2523, artisinal_mine bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_1328, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture partly_cloudy primary road
train_38931, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, clear primary slash_burn water
train_2667, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture artisinal_mine clear cultivation habitation primary road water
train_749, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear primary road
train_26909, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear cultivation primary road selective_logging
train_1436, blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, artisinal_mine clear primary water
train_12127, bare_ground blooming clear cultivation partly_cloudy selective_logging slash_burn water, bare_ground clear primary
train_2999, blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_26808, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture artisinal_mine clear cultivation primary water
train_1136, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary road water
train_4394, artisinal_mine bare_ground blooming cloudy conventional_mine habitation haze partly_cloudy road water, cloudy
train_29605, blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_29222, bare_ground blooming clear cultivation partly_cloudy slash_burn, blooming partly_cloudy primary
train_11061, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, bare_ground clear primary road water
train_27484, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_1206, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear habitation primary road water
train_4766, bare_ground blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_28821, bare_ground blooming clear partly_cloudy primary slash_burn, blooming clear primary
train_2278, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear cultivation primary water
train_3445, agriculture artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture haze water
train_240, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, agriculture clear primary road
train_4587, artisinal_mine blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_1225, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, partly_cloudy primary
train_696, bare_ground blooming blow_down clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, agriculture clear cultivation primary road selective_logging
train_25123, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, blooming partly_cloudy primary selective_logging
train_32077, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, blooming clear primary
train_1090, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary water
train_843, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture clear primary road
train_31496, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, blooming clear primary
train_275, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary
train_4656, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_2484, blooming blow_down clear cultivation habitation primary road selective_logging, cultivation habitation partly_cloudy primary road
train_830, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary
train_26020, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear primary road selective_logging
train_2672, blooming clear cultivation habitation primary road selective_logging, clear cultivation habitation primary road water
train_1208, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear primary water
train_1210, artisinal_mine bare_ground blooming clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road water, partly_cloudy primary
train_2928, blooming blow_down clear cultivation habitation primary road selective_logging, clear habitation primary road water
train_28782, blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_2449, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary road
train_3684, artisinal_mine bare_ground blooming clear cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_10886, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground cultivation partly_cloudy primary
train_3561, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze water
train_11783, artisinal_mine bare_ground clear cloudy conventional_mine habitation partly_cloudy road water, bare_ground clear primary
train_271, bare_ground blooming clear partly_cloudy, clear primary
train_890, blooming clear primary, agriculture clear primary
train_1376, artisinal_mine bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture partly_cloudy primary road
train_1357, blooming clear partly_cloudy primary, partly_cloudy primary
train_228, artisinal_mine bare_ground blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, agriculture haze primary road water
train_2052, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary
train_266, bare_ground blooming blow_down clear conventional_mine cultivation partly_cloudy slash_burn, clear cultivation habitation primary
train_267, bare_ground blooming clear partly_cloudy primary slash_burn, partly_cloudy primary
train_3760, blooming cloudy conventional_mine cultivation habitation haze partly_cloudy road selective_logging water, cloudy
train_1404, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_996, blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, partly_cloudy primary road
train_272, blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear primary road
train_1370, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, partly_cloudy primary
train_688, artisinal_mine blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, agriculture haze primary road
train_238, bare_ground blooming clear partly_cloudy primary, clear primary
train_29289, bare_ground blooming clear partly_cloudy primary, clear primary road selective_logging
train_292, agriculture clear habitation partly_cloudy primary water, agriculture partly_cloudy primary
train_991, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_2454, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation habitation primary road
train_11897, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture bare_ground partly_cloudy primary road
train_279, bare_ground blooming clear partly_cloudy, clear cultivation primary
train_2665, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear habitation primary water
train_29267, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear primary selective_logging
train_29683, bare_ground blooming clear partly_cloudy primary, clear primary road selective_logging
train_12718, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear primary water
train_28611, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary road selective_logging
train_1184, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture haze primary water
train_348, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear primary
train_2829, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn water, agriculture clear cultivation habitation primary
train_311, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_2246, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear habitation primary road
train_26714, bare_ground blooming blow_down clear conventional_mine cultivation partly_cloudy slash_burn, agriculture blooming clear cultivation primary slash_burn
train_1065, blooming clear cultivation primary water, partly_cloudy primary water
train_1254, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road water
train_239, agriculture blooming clear conventional_mine habitation partly_cloudy road selective_logging slash_burn water, bare_ground clear primary water
train_3532, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture habitation haze primary road
train_2972, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, clear cultivation habitation primary road
train_982, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_780, blooming clear primary, agriculture clear cultivation primary
train_2783, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_2254, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture cultivation haze primary road
train_10838, blooming blow_down clear cultivation habitation primary selective_logging, bare_ground clear cultivation primary
train_27192, bare_ground blooming clear cultivation partly_cloudy slash_burn, blooming clear primary
train_11098, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, agriculture bare_ground clear primary
train_31625, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, clear primary selective_logging
train_736, blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_29281, clear primary, blooming clear primary
train_3229, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_27581, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, blooming clear primary
train_11866, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear primary
train_1235, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road
train_1249, bare_ground blooming blow_down clear cultivation habitation primary selective_logging, agriculture partly_cloudy primary road
train_12450, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy selective_logging slash_burn, bare_ground clear primary
train_2183, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear cultivation primary water
train_716, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture partly_cloudy primary
train_4723, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_2306, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, clear habitation water
train_12706, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, bare_ground clear conventional_mine primary road
train_1291, blooming clear cultivation habitation primary road water, partly_cloudy primary
train_29757, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_1300, blooming clear cultivation habitation primary road selective_logging water, partly_cloudy primary water
train_4349, blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_4013, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging, cloudy
train_26232, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_2252, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary selective_logging
train_25290, blooming blow_down clear cultivation habitation primary selective_logging, clear primary road selective_logging
train_249, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_2095, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, clear cultivation primary
train_3394, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_356, bare_ground blooming clear cultivation partly_cloudy, clear primary
train_262, blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, clear cultivation primary
train_12314, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, bare_ground clear primary
train_1191, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary road
train_3071, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_2309, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_875, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear primary road
train_12022, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, bare_ground clear primary water
train_11815, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture bare_ground haze primary road
train_2614, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary road
train_38594, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, agriculture clear habitation primary slash_burn
train_376, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary
train_3975, artisinal_mine blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_27590, bare_ground blooming clear cultivation partly_cloudy slash_burn, clear primary selective_logging
train_3066, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture haze primary water
train_30474, bare_ground blooming clear partly_cloudy primary, clear primary road selective_logging
train_3610, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_2083, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture cultivation habitation partly_cloudy primary road
train_30443, blooming clear partly_cloudy primary, blooming clear primary
train_1241, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear primary road
train_30494, blooming clear partly_cloudy primary, blooming clear primary
train_2524, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_1073, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture partly_cloudy primary road
train_2319, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation primary road
train_3857, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_2112, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road
train_2310, bare_ground blooming clear partly_cloudy primary, clear habitation primary
train_28109, bare_ground blooming clear partly_cloudy, clear primary selective_logging
train_40446, bare_ground blooming blow_down clear partly_cloudy primary selective_logging slash_burn, clear primary slash_burn water
train_236, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, clear primary
train_3258, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_372, bare_ground blooming clear partly_cloudy slash_burn, clear primary
train_2517, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear cultivation primary road
train_10858, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, bare_ground clear primary
train_2754, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, clear cultivation habitation primary water
train_1181, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary road selective_logging
train_4476, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, cloudy
train_286, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture artisinal_mine clear primary water
train_26332, bare_ground blooming clear partly_cloudy primary, blooming clear primary
train_12185, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, bare_ground clear primary water
train_1340, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture artisinal_mine clear cultivation habitation primary water
train_288, agriculture bare_ground blooming clear conventional_mine cultivation habitation haze partly_cloudy road selective_logging slash_burn water, clear primary water
train_977, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear habitation primary road water
train_2238, bare_ground blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_1162, blooming clear cultivation partly_cloudy primary selective_logging, partly_cloudy primary water
train_3232, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture cultivation haze primary
train_2087, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation primary
train_283, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, partly_cloudy primary water
train_276, bare_ground blooming clear cultivation partly_cloudy slash_burn, partly_cloudy primary
train_28878, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, blooming clear primary
train_2496, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary water
train_26748, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn water, clear primary selective_logging
train_1305, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary road
train_2338, blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary water
train_336, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary
train_293, blooming clear partly_cloudy primary, clear primary water
train_31420, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, artisinal_mine clear primary water
train_4414, artisinal_mine bare_ground blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_354, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging, clear primary
train_1178, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear habitation primary road
train_29576, bare_ground blooming blow_down clear cultivation partly_cloudy slash_burn, blooming clear primary
train_12054, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, bare_ground clear road
train_1091, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_1046, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_30024, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy road water, artisinal_mine partly_cloudy primary water
train_357, blooming clear partly_cloudy primary, clear primary
train_3930, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_30072, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, blooming clear primary
train_10432, artisinal_mine bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, bare_ground clear
train_1480, bare_ground blooming blow_down clear cloudy conventional_mine haze partly_cloudy selective_logging slash_burn, clear primary water
train_4293, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_27504, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine clear primary water
train_831, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear primary
train_1123, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation primary road water, clear habitation primary road
train_364, blooming blow_down clear cultivation habitation primary road selective_logging, clear primary
train_366, agriculture bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn, clear primary water
train_294, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary road
train_38995, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation primary slash_burn
train_29778, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, artisinal_mine clear primary
train_1344, cloudy road, partly_cloudy primary
train_2335, bare_ground blooming blow_down clear cloudy cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation habitation primary
train_261, bare_ground blooming blow_down clear conventional_mine cultivation habitation haze partly_cloudy primary selective_logging slash_burn water, agriculture clear primary
train_767, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road
train_3065, bare_ground blooming blow_down clear cultivation habitation primary selective_logging slash_burn, agriculture cultivation habitation partly_cloudy primary road
train_1106, blooming blow_down clear cultivation habitation primary selective_logging, agriculture clear habitation primary road
train_27694, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, clear primary road selective_logging
train_1284, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, partly_cloudy primary
train_30545, bare_ground blooming clear conventional_mine cultivation haze partly_cloudy selective_logging slash_burn, clear primary selective_logging
train_4051, artisinal_mine blooming cloudy conventional_mine habitation haze partly_cloudy road selective_logging water, cloudy
train_1350, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_1019, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, agriculture clear habitation primary road
train_10525, bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging water, agriculture bare_ground clear road
train_2780, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn, agriculture clear cultivation habitation primary
train_3613, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, cloudy
train_2606, bare_ground blooming clear partly_cloudy primary slash_burn, agriculture clear habitation primary water
train_27457, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, artisinal_mine clear primary water
train_3054, artisinal_mine bare_ground blooming clear conventional_mine cultivation habitation partly_cloudy primary road water, agriculture clear cultivation habitation primary road
train_10992, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation primary road selective_logging slash_burn water, bare_ground clear primary
train_3305, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, haze primary
train_2090, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary selective_logging slash_burn, agriculture clear cultivation primary
train_769, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture habitation partly_cloudy primary
train_2248, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear habitation primary road
train_1388, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary road water
train_2201, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary road
train_30887, bare_ground blooming clear conventional_mine cultivation partly_cloudy selective_logging slash_burn, blooming clear primary
train_29914, bare_ground blooming clear conventional_mine cultivation partly_cloudy slash_burn, blooming partly_cloudy primary
train_3208, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, haze primary
train_2995, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, habitation partly_cloudy primary water
train_314, artisinal_mine bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture clear primary road
train_1364, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation primary water
train_1233, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging, agriculture partly_cloudy primary
train_2299, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn water, agriculture clear cultivation habitation primary
train_28663, bare_ground blooming clear partly_cloudy primary, agriculture blooming clear cultivation primary
train_29152, bare_ground blooming clear partly_cloudy, clear primary selective_logging
train_3228, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, habitation haze primary water
train_1188, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn water, agriculture clear cultivation primary road
train_29669, artisinal_mine bare_ground blooming clear cloudy conventional_mine habitation partly_cloudy road selective_logging water, artisinal_mine clear water
train_27980, agriculture artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging slash_burn water, artisinal_mine partly_cloudy primary road water
train_1417, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging water, clear primary water
train_326, artisinal_mine bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture clear primary
train_4094, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, cloudy
train_2207, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging slash_burn, agriculture clear cultivation primary
train_2480, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, agriculture cultivation partly_cloudy primary
train_25906, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, blooming clear primary
train_28380, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, blooming clear primary
train_265, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_375, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, clear primary
train_813, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary
train_1011, blooming clear cultivation partly_cloudy slash_burn, clear primary road water
train_1289, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, clear primary water
train_3321, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, haze primary
train_10976, bare_ground blooming clear cultivation habitation primary selective_logging slash_burn water, bare_ground habitation partly_cloudy primary
train_11938, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging water, bare_ground clear primary
train_12762, bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary selective_logging slash_burn, bare_ground partly_cloudy primary water
train_2986, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear cultivation habitation primary water
train_1196, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, clear water
train_2059, bare_ground blooming blow_down clear cultivation habitation primary road selective_logging, agriculture clear cultivation primary
train_1078, blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, partly_cloudy primary
train_1393, bare_ground blooming blow_down clear cultivation habitation partly_cloudy primary road selective_logging slash_burn, agriculture clear primary road water
train_29725, blooming clear partly_cloudy primary, agriculture clear cultivation primary selective_logging
train_1288, bare_ground blooming blow_down cloudy conventional_mine cultivation habitation haze partly_cloudy selective_logging slash_burn water, clear primary water
train_750, artisinal_mine bare_ground blooming blow_down clear cloudy conventional_mine cultivation habitation haze partly_cloudy primary road selective_logging water, agriculture clear primary water
train_1041, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture habitation partly_cloudy primary road
train_1139, bare_ground blooming blow_down clear conventional_mine cultivation habitation partly_cloudy primary road selective_logging water, agriculture partly_cloudy primary
